Ticker Name,News Summary,Sentiment,Sentiment Rating,News URL
PFE,"Caterpillar, Pfizer, Uber post mixed results. Apple, Amazon due to report second quarter results later this week",NEGATIVE,0.9992376565933228,https://finance.yahoo.com/news/stock-futures-droop-amid-mixed-earnings-after-blazing-july-stock-market-news-today-121511468.html
PFE,Innovation Passport awarded for vepdegestrant for locally-advanced breast cancer.,POSITIVE,0.9437476992607117,https://finance.yahoo.com/news/arvinas-pfizer-awarded-innovation-passport-203000619.html
PFE,Chris Boshoff appointed Chief Oncology Research and Development Officer.,POSITIVE,0.9966739416122437,https://finance.yahoo.com/news/pfizer-announces-executive-leadership-advance-104500957.html
PFE,Shares are trading at 52-week lows after weight-loss drug failed in trial. Pfizer’s dividend yield stands out as 4.56%,NEGATIVE,0.9856473207473755,https://finance.yahoo.com/news/earn-500-month-pfizer-stock-120100836.html
PFE,"BioNTech, Moderna, Radius Health are among the top five stocks to buy.",POSITIVE,0.9992000460624695,https://finance.yahoo.com/news/10-best-small-cap-pharma-185609107.html
PFE,Drugmaker sees full-year revenue in the range of $67 billion to $70 billion.,NEGATIVE,0.8220949769020081,https://finance.yahoo.com/news/pfizer-q2-earnings-snapshot-105818783.html
PFE,Company is advancing its allogeneic CAR-T cell therapy pipeline. New investor joins Caribou’s Scientific Advisory Board,POSITIVE,0.9980408549308777,https://finance.yahoo.com/news/caribou-biosciences-announces-25-million-120000433.html
PFE,"Pfizer, Merck, Vertex, Exelixis, Incyte to report second-quarter results.",NEGATIVE,0.9565234184265137,https://finance.yahoo.com/news/drug-biotech-stocks-q2-earnings-135800432.html
PFE,Drugmaker is expected to report quarterly earnings of $0.60 per share.,NEGATIVE,0.9894277453422546,https://finance.yahoo.com/news/earnings-preview-pfizer-pfe-q2-140133393.html
PFE,Data set includes all 16 patients treated in dose escalation. Upsized public offering priced at $6.5 per share with gross proceeds of $125 million,NEGATIVE,0.9935374855995178,https://finance.yahoo.com/news/caribou-biosciences-raises-125m-via-152759589.html
TSLA,Netizens ask Elon Musk about phone’s connectivity with Starlink. Tesla CEO’s tweet has already garnered more than 4.7 million views.,NEGATIVE,0.9685801267623901,https://www.livemint.com/technology/gadgets/elon-musk-shares-a-photo-of-testa-phone-boasts-can-be-used-from-mars-11690906528131.html
